,Prad_SB,Prad_AB,Pref_loss,Precomb,Ptherm,Preabs,PEQE,Pseries,Pgen,Eg
0,38.48136952945661,76.56919840125416,0.0,2.2997672278511225,35.986967421514585,38.48136952945661,0.0,0.0,38.28246375188845,0.5
1,40.54562773370991,74.5047719613589,0.0,2.200948338394034,34.550585091733375,40.54562773370991,0.0,0.0,37.75323853123149,0.5151515151515151
2,42.61038221277324,72.44013629188741,0.0,2.1199280136863248,33.14023046810293,42.61038221277324,0.0,0.0,37.17997781009816,0.5303030303030303
3,44.67142951013303,70.37948015029386,0.0,2.0342160932603637,31.778412353530054,44.67142951013303,0.0,0.0,36.566851703503445,0.5454545454545454
4,46.861314303857576,68.19029568684715,0.0,1.9415771400005972,30.375214619827684,46.861314303857576,0.0,0.0,35.87350392701887,0.5606060606060606
5,48.90234834515931,66.15016725398995,0.0,1.872810488323466,29.08659567657821,48.90234834515931,0.0,0.0,35.19076108908828,0.5757575757575758
6,50.92820367759614,64.12544253410351,0.0,1.7798351441329994,27.865362377202093,50.92820367759614,0.0,0.0,34.48024501276842,0.5909090909090909
7,52.93561527040538,62.11937083986721,0.0,1.7064136829404848,26.66738463183725,52.93561527040538,0.0,0.0,33.745572525089464,0.6060606060606061
8,54.92155360452044,60.13496602749038,0.0,1.6314816595076331,25.513268742286275,54.92155360452044,0.0,0.0,32.990215625696464,0.6212121212121212
9,56.883223155674095,58.17500810993528,0.0,1.555622094473913,24.401893333845884,56.883223155674095,0.0,0.0,32.21749268161548,0.6363636363636364
10,58.94603600043187,56.11420012202998,0.0,1.4840306481891272,23.252495949960803,58.94603600043187,0.0,0.0,31.377673523880045,0.6515151515151515
11,60.84967942913465,54.212588373348744,0.0,1.4087946061338976,22.2249485571059,60.84967942913465,0.0,0.0,30.57884521010894,0.6666666666666667
12,62.7219034941938,52.34252831729553,0.0,1.3522698092375527,21.218448465034218,62.7219034941938,0.0,0.0,29.77181004302376,0.6818181818181819
13,64.56082271176876,50.50589131204059,0.0,1.277686854642347,20.26908599236436,64.56082271176876,0.0,0.0,28.959118465033885,0.696969696969697
14,66.36476017194246,48.704340622271644,0.0,1.2214826117655502,19.339530617865645,66.36476017194246,0.0,0.0,28.143327392640455,0.7121212121212122
15,68.13224005771377,46.93933893801562,0.0,1.1656488583211122,18.44703042964547,68.13224005771377,0.0,0.0,27.326659650049034,0.7272727272727273
16,69.97592582551523,45.09838320096875,0.0,1.1029684513590658,17.538424208384424,69.97592582551523,0.0,0.0,26.456990541225263,0.7424242424242424
17,71.66420320109194,43.412733769887694,0.0,1.049467984550157,16.718147471052646,71.66420320109194,0.0,0.0,25.645118314284893,0.7575757575757576
18,73.31266479747946,41.76695480733706,0.0,0.9968979514952749,15.931639052100401,73.31266479747946,0.0,0.0,24.838417803741383,0.7727272727272727
19,74.92056646077481,40.161779691048714,0.0,0.9454197588475804,15.177817996733083,74.92056646077481,0.0,0.0,24.03854193546805,0.7878787878787878
20,76.48732143370927,38.59778500931792,0.0,0.8951735927257508,14.455616582444055,76.48732143370927,0.0,0.0,23.24699483414811,0.803030303030303
21,78.0124912326636,37.075399685362804,0.0,0.8600563787751815,13.750166766958035,78.0124912326636,0.0,0.0,22.46517653962959,0.8181818181818181
22,79.59316813658334,35.49770946608609,0.0,0.809213923493952,13.045170341115416,79.59316813658334,0.0,0.0,21.643325201476728,0.8333333333333334
23,81.0315931475743,34.06209120931768,0.0,0.7633403966716454,12.41343648094299,81.0315931475743,0.0,0.0,20.885314331703043,0.8484848484848485
24,82.4279173065892,32.668572416823736,0.0,0.7313469539178379,11.796826934538197,82.4279173065892,0.0,0.0,20.140398528367697,0.8636363636363636
25,83.78221218231627,31.317074370787594,0.0,0.6880924063981535,11.219532743183398,83.78221218231627,0.0,0.0,19.409449221206042,0.8787878787878788
26,85.09465262538781,30.007415633644467,0.0,0.6579501551393901,10.656299475973798,85.09465262538781,0.0,0.0,18.693166002531278,0.8939393939393939
27,86.36550844993037,28.739320349858485,0.0,0.6174938259634436,10.129553182388086,86.36550844993037,0.0,0.0,17.99227334150696,0.9090909090909092
28,87.67565594132193,27.432087903239967,0.0,0.578574339077652,9.591364871229999,87.67565594132193,0.0,0.0,17.262148692932318,0.9242424242424243
29,88.86178965058373,26.248654091118155,0.0,0.5519191849733591,9.102133613858841,88.86178965058373,0.0,0.0,16.594601292285954,0.9393939393939394
