,Eg,Pgen,Trad,eff
0,0.5,11.028705626795483,2123,0.47910750804753754
1,0.5151515151515151,10.897484748392927,2123,0.4864324396952899
2,0.5303030303030303,10.752029439495972,2123,0.4933407248564649
3,0.5454545454545454,10.59354919885769,2123,0.5001598944730836
4,0.5606060606060606,10.411520662066946,2123,0.5070231468647428
5,0.5757575757575758,10.229941007588227,2123,0.5133746130866633
6,0.5909090909090909,10.038943646780309,2123,0.5195090237550593
7,0.6060606060606061,9.839630556026801,2123,0.5254351460687429
8,0.6212121212121212,9.633059624485576,2123,0.5311613819637493
9,0.6363636363636364,9.42024297972113,2123,0.5366957814546592
10,0.6515151515151515,9.187458710063162,2123,0.5424950279728625
11,0.6666666666666667,8.96475281701222,2123,0.5476702588701493
12,0.6818181818181819,8.73863266897711,2123,0.5528758200278471
13,0.696969696969697,8.509901893668957,2123,0.5577233993729739
14,0.7121212121212122,8.27932459934246,2123,0.5626205957136287
15,0.7272727272727273,8.047649981895269,2123,0.5671664632324314
16,0.7424242424242424,7.800045048611217,2123,0.5720282950505556
17,0.7575757575757576,7.568142111435946,2123,0.5762957648487358
18,0.7727272727272727,7.337028282855656,2123,0.5806485469804364
19,0.7878787878787878,7.107258343495676,2123,0.584660190705508
20,0.803030303030303,6.8792935854399,2123,0.5887729358528345
21,0.8181818181818181,6.653601608548297,2123,0.5925484661282167
22,0.8333333333333334,6.415801317578561,2123,0.5966897020412156
23,0.8484848484848485,6.196013863517175,2123,0.6002482738799725
24,0.8636363636363636,5.979599613001536,2123,0.6039366496919477
25,0.8787878787878788,5.766849025526849,2123,0.607293951613698
26,0.8939393939393939,5.558020552500335,2123,0.6107939317322795
27,0.9090909090909092,5.353325245585003,2123,0.6139649401472964
28,0.9242424242424243,5.139774581631725,2123,0.6175486635911543
29,0.9393939393939394,4.944216302596792,2123,0.6205493063152454
30,0.9545454545454546,4.7533073734399345,2123,0.6237154859940863
31,0.9696969696969697,4.567140089114987,2123,0.6265563270110434
32,0.9848484848484849,4.38582587479782,2123,0.6295731842012543
33,1.0,4.2094067490455895,2123,0.6325199353415278
34,1.0151515151515151,4.026691201434831,2123,0.6354140982252462
35,1.0303030303030303,3.8605344330764018,2123,0.6379716042914911
36,1.0454545454545454,3.699373828182034,2123,0.6407231367872215
37,1.0606060606060606,3.543187272802523,2123,0.6431525060210697
38,1.0757575757575757,3.391974646459736,2123,0.6457844173631179
39,1.0909090909090908,3.245683010180124,2123,0.6483599144526596
40,1.106060606060606,3.095028363102437,2123,0.6508992937642485
41,1.121212121212121,2.9587802676999844,2123,0.653101396505736
42,1.1363636363636362,2.8272915219137436,2123,0.6555200084623678
43,1.1515151515151514,2.700495695623792,2123,0.6576183236614637
44,1.1666666666666667,2.578308370788179,2123,0.6599400425559796
45,1.1818181818181819,2.4606465237741877,2123,0.661941361371303
46,1.196969696969697,2.340023963500515,2123,0.6641959855787193
47,1.2121212121212122,2.2314146164954236,2123,0.6663858657439069
48,1.2272727272727273,2.127038052592268,2123,0.6682554636558332
49,1.2424242424242424,2.0267837373103714,2123,0.6703633968302903
50,1.2575757575757576,1.9305529440087903,2123,0.6721508204330893
51,1.2727272727272727,1.8382294588690773,2123,0.6741819606371985
52,1.2878787878787878,1.7439416744881147,2123,0.6759229769718129
53,1.3030303030303032,1.659357513727542,2123,0.6778839118947302
54,1.3181818181818183,1.5783436035611766,2123,0.679522914437425
55,1.3333333333333335,1.500792554691195,2123,0.6814161944852336
56,1.3484848484848486,1.4265919003772012,2123,0.6829872709736526
57,1.3636363636363638,1.3556304626659865,2123,0.6848169327497814
58,1.378787878787879,1.2833874259762192,2123,0.6863633186133319
59,1.393939393939394,1.2187783368274352,2123,0.6881349424037316
60,1.4090909090909092,1.1570772990595881,2123,0.6895832018642563
61,1.4242424242424243,1.0981781587878456,2123,0.6912983692724723
62,1.4393939393939394,1.0419812922587162,2123,0.6926899776711729
63,1.4545454545454546,0.9883795625572372,2123,0.6940531955077796
64,1.4696969696969697,0.9339597798826202,2123,0.6957384595714807
65,1.4848484848484849,0.8854155283422713,2123,0.6970511733601303
66,1.5,0.8391741288523291,2123,0.6986409353006219
67,1.5151515151515151,0.7951395776450254,2123,0.6999046592850112
68,1.5303030303030303,0.7532221731320279,2123,0.7014481486913674
69,1.5454545454545454,0.7133372197370783,2123,0.7026655589937842
70,1.5606060606060606,0.6729330201404098,2123,0.7039171692663883
71,1.5757575757575757,0.6369777454475952,2123,0.7053981140075213
72,1.5909090909090908,0.6027991138514379,2123,0.7065510145460376
73,1.6060606060606062,0.5703201839515378,2123,0.7079914747792291
74,1.6212121212121213,0.539469049181768,2123,0.7091040190176116
75,1.6363636363636365,0.5101702319864624,2123,0.7101960475966609
76,1.6515151515151516,0.4823554970686491,2123,0.7115803092040969
77,1.6666666666666667,0.45424747436040863,2123,0.712703706793328
78,1.6818181818181819,0.4292893097531865,2123,0.7137410628269081
79,1.696969696969697,0.40561740170904115,2123,0.7150748776141165
80,1.7121212121212122,0.38317156146066306,2123,0.7160778022803923
81,1.7272727272727273,0.3618930761301264,2123,0.7170630964291593
82,1.7424242424242424,0.3417280592460913,2123,0.7183487021718592
83,1.7575757575757576,0.32138585099561584,2123,0.7193799781089382
84,1.7727272727272727,0.3033546212053447,2123,0.7203186146703637
85,1.7878787878787878,0.2862803095351276,2123,0.7215608095631498
86,1.803030303030303,0.2701167228071123,2123,0.7224698709600746
87,1.8181818181818181,0.2548179506262617,2123,0.7233636757275438
88,1.8333333333333335,0.2403414655411853,2123,0.7245641534114927
