,P_rad_SB_ref,P_rad_SB_abs,P_rad_AB_ref,P_rad_AB_abs,P_rad_recomb,Ptherm,P_BG_Voc,Preabs,P_nonrad_recomb,Pseries,Pgen,Eg
0,11.92922455413155,0.0,0.0,15.88387667607005,0.5617300977699828,4.226676613745848,2.6202339834627875,11.92922455413155,0.0,0.0,8.475235981091432,0.5
1,12.569144597450071,0.0,0.0,15.855360384998383,0.5452767912994279,4.167602200196238,2.6213694658411946,12.569144597450071,0.0,0.0,8.521111927661522,0.5151515151515151
2,13.209218485959704,0.0,0.0,15.80851405497584,0.5340918615129159,4.109147603442283,2.612495248108571,13.209218485959704,0.0,0.0,8.55277934191207,0.5303030303030303
3,13.84814314814124,0.0,0.0,15.703628375015898,0.5168557938227376,4.032253882173406,2.600519431378226,13.84814314814124,0.0,0.0,8.553999267641528,0.5454545454545454
4,14.527007434195848,0.0,0.0,15.522962084353098,0.5043588246219375,3.948236136719906,2.5505963018993034,14.527007434195848,0.0,0.0,8.519770821111951,0.5606060606060606
5,15.159727986999386,0.0,0.0,15.354094717979631,0.48718243224728486,3.8580990578472782,2.5276082458486866,15.159727986999386,0.0,0.0,8.481204982036381,0.5757575757575758
6,15.787743140054802,0.0,0.0,15.15718248377952,0.46997721363416056,3.7626922180860567,2.4997010702082663,15.787743140054802,0.0,0.0,8.424811981851038,0.5909090909090909
7,16.410040733825667,0.0,0.0,14.934857592345185,0.452828485973058,3.662865616328805,2.467298394436931,16.410040733825667,0.0,0.0,8.351865095606392,0.6060606060606061
8,17.025681617401336,0.0,0.0,14.689695310865375,0.4412680317548929,3.5594222684358012,2.425358443335288,17.025681617401336,0.0,0.0,8.263646567339391,0.6212121212121212
9,17.63379917825897,0.0,0.0,14.424196904849994,0.424357476376804,3.4531156483526733,2.385287889907753,17.63379917825897,0.0,0.0,8.161435890212763,0.6363636363636364
10,18.273271160133877,0.0,0.0,14.101143380068578,0.4037363338476475,3.344623414627273,2.322809689120265,18.273271160133877,0.0,0.0,8.029973942473392,0.6515151515151515
11,18.863400623031744,0.0,0.0,13.802743320381776,0.3877261286777578,3.2346559436773825,2.2769347826037634,18.863400623031744,0.0,0.0,7.903426465422872,0.6666666666666667
12,19.443790083200078,0.0,0.0,13.481452673638035,0.37203388899197143,3.1193368075575023,2.227474515063649,19.443790083200078,0.0,0.0,7.762607462024913,0.6818181818181819
13,20.013855040648316,0.0,0.0,13.159193253175404,0.35669402670263056,3.0084569129972962,2.1770564455824,20.013855040648316,0.0,0.0,7.616985867893077,0.696969696969697
14,20.573075653302162,0.0,0.0,12.819519473391468,0.34173481200854805,2.8939413102803457,2.1238973651793396,20.573075653302162,0.0,0.0,7.459945985923233,0.7121212121212122
15,21.12099441789127,0.0,0.0,12.481072097914343,0.3271789677195656,2.784038337679422,2.0702362469235975,21.12099441789127,0.0,0.0,7.299618545591757,0.7272727272727273
16,21.69253700590972,0.0,0.0,12.094749119924929,0.3155847681227897,2.671910289613495,1.993209199199356,21.69253700590972,0.0,0.0,7.114044862989288,0.7424242424242424
17,22.2159029923385,0.0,0.0,11.74143782742592,0.30201841467077156,2.5616391998529693,1.9372960476246415,22.2159029923385,0.0,0.0,6.940484165277536,0.7575757575757576
18,22.72692608721863,0.0,0.0,11.3864351321532,0.2844934798487077,2.453451582725621,1.8852084262307465,22.72692608721863,0.0,0.0,6.763281643348123,0.7727272727272727
19,23.225375602840188,0.0,0.0,11.030993505838504,0.27190158972464873,2.347567241134757,1.8282826191731474,23.225375602840188,0.0,0.0,6.58324205580595,0.7878787878787878
20,23.71106964444987,0.0,0.0,10.681035882588613,0.25974683595600434,2.246368158817716,1.7717694248414795,23.71106964444987,0.0,0.0,6.403151462973412,0.803030303030303
21,24.183872282125716,0.0,0.0,10.323280160458268,0.2480298648518643,2.1434245401512304,1.7142316473150374,24.183872282125716,0.0,0.0,6.217594108140135,0.8181818181818181
22,24.67388212234083,0.0,0.0,9.942867662633416,0.23593028865431384,2.0454344677166874,1.6434233325749312,24.67388212234083,0.0,0.0,6.018079573687484,0.8333333333333334
23,25.119793875748034,0.0,0.0,9.597013196405175,0.22523983314705479,1.95034120615908,1.5874900434490864,25.119793875748034,0.0,0.0,5.833942113649955,0.8484848484848485
24,25.55265436504265,0.0,0.0,9.255477187887971,0.2149640897685877,1.8582001117371179,1.5320857446750995,25.55265436504265,0.0,0.0,5.650227241707165,0.8636363636363636
25,25.972485776518045,0.0,0.0,8.918937147686389,0.20157939400522704,1.7690670947987444,1.48084408242939,25.972485776518045,0.0,0.0,5.467446576453027,0.8787878787878788
26,26.37934231387022,0.0,0.0,8.585233252399696,0.19222034188058962,1.6817229852195692,1.4264329461649652,26.37934231387022,0.0,0.0,5.284856979134571,0.8939393939393939
27,26.773307619478413,0.0,0.0,8.260652877050793,0.18325212385003622,1.5988122030836722,1.3732303102162546,26.773307619478413,0.0,0.0,5.10535823990083,0.9090909090909092
28,27.1794533418098,0.0,0.0,7.915427655858091,0.17148130963483868,1.517907272786261,1.3124686336882985,27.1794533418098,0.0,0.0,4.913570439748693,0.9242424242424243
29,27.547154791680956,0.0,0.0,7.6032925025816835,0.16345697294678585,1.4402536350479334,1.2613409660062378,27.547154791680956,0.0,0.0,4.738240928580726,0.9393939393939394
30,27.902379262879958,0.0,0.0,7.300669107071945,0.15578268586251542,1.3666453313991236,1.2115594270649432,27.902379262879958,0.0,0.0,4.566681662745362,0.9545454545454546
31,28.245305340211985,0.0,0.0,7.003809866868575,0.14844779542701753,1.2952301952059802,1.1627299080510012,28.245305340211985,0.0,0.0,4.397401968184576,0.9696969696969697
32,28.57612935085563,0.0,0.0,6.714973848747036,0.13873700181067858,1.2268885589449554,1.1178193651327528,28.57612935085563,0.0,0.0,4.23152892285865,0.9848484848484849
33,28.895063356733434,0.0,0.0,6.434291081877273,0.13213793719715175,1.1615502141181675,1.071371339152768,28.895063356733434,0.0,0.0,4.069231591409186,1.0
34,29.222408951617435,0.0,0.0,6.14182663878882,0.12373958773740541,1.0991311656184273,1.0196811018076248,29.222408951617435,0.0,0.0,3.899274783625363,1.0151515151515151
35,29.517499635734655,0.0,0.0,5.878435964147603,0.11786808089940014,1.039572934458279,0.9760906354332175,29.517499635734655,0.0,0.0,3.7449043133567064,1.0303030303030303
36,29.801429274199762,0.0,0.0,5.623345591631421,0.11227049055359642,0.9827802097486805,0.933813899032834,29.801429274199762,0.0,0.0,3.59448099229631,1.0454545454545454
37,30.07445540243095,0.0,0.0,5.3765452817034864,0.10474115938518609,0.9286677602366225,0.8950396145601426,30.07445540243095,0.0,0.0,3.448096747521536,1.0606060606060606
38,30.336842713499458,0.0,0.0,5.137997778876999,0.09973510007382048,0.8771485202794788,0.8553141318699203,30.336842713499458,0.0,0.0,3.3058000266537793,1.0757575757575757
39,30.588861672846768,0.0,0.0,4.906841328799381,0.0929663363550365,0.8277778381650873,0.8188228300483309,30.588861672846768,0.0,0.0,3.1672743242309256,1.0909090909090908
40,30.846563523770765,0.0,0.0,4.668935784232155,0.08906117849869401,0.7812070751689887,0.7746935470468382,30.846563523770765,0.0,0.0,3.0239739835176342,1.106060606060606
41,31.07802952377671,0.0,0.0,4.455405309116592,0.08299618752935624,0.7369690797718593,0.740959250902232,31.07802952377671,0.0,0.0,2.894480790913144,1.121212121212121
42,31.299979528297715,0.0,0.0,4.249139871421488,0.07903715534410158,0.6947016149329259,0.7065364165889889,31.299979528297715,0.0,0.0,2.7688646845554716,1.1363636363636362
43,31.51269517082852,0.0,0.0,4.051256389087263,0.07360006078864585,0.6548711986584794,0.6751192871112364,31.51269517082852,0.0,0.0,2.647665842528902,1.1515151515151514
44,31.71645826004963,0.0,0.0,3.860459536780725,0.07007923843952389,0.6168820089577828,0.643153748007368,31.71645826004963,0.0,0.0,2.53034454137605,1.1666666666666667
45,31.911549932342925,0.0,0.0,3.6771752448017883,0.06521325937971316,0.5809065641610411,0.6139445688318469,31.911549932342925,0.0,0.0,2.4171108524291873,1.1818181818181819
46,32.11040498432328,0.0,0.0,3.489105842959493,0.0612436551333322,0.5468505221709536,0.5805194598330679,32.11040498432328,0.0,0.0,2.300492205822139,1.196969696969697
47,32.28845961899934,0.0,0.0,3.321200951233085,0.05833080546847741,0.5147986094212426,0.5523384686894712,32.28845961899934,0.0,0.0,2.1957330676538938,1.2121212121212122
48,32.45869306661554,0.0,0.0,3.1598366931746176,0.05556351382736487,0.4843222818675363,0.5252655113463882,32.45869306661554,0.0,0.0,2.0946853861333277,1.2272727272727273
49,32.621376530365524,0.0,0.0,3.00522316783917,0.05166996116447673,0.4555168949079706,0.5005664568930577,32.621376530365524,0.0,0.0,1.9974698548736651,1.2424242424242424
50,32.77677734348486,0.0,0.0,2.857163905597068,0.04921854272203181,0.4283027466542013,0.47565033220082104,32.77677734348486,0.0,0.0,1.9039922840200136,1.2575757575757576
51,32.925158527978226,0.0,0.0,2.7154606847396727,0.04574413698751359,0.40260282694593696,0.4529330976134019,32.925158527978226,0.0,0.0,1.8141806231928208,1.2727272727272727
52,33.07598556456193,0.0,0.0,2.5705124438726785,0.04305226623802786,0.37824210073822045,0.42716737967149976,33.07598556456193,0.0,0.0,1.7220506972249305,1.2878787878787878
53,33.210672436366444,0.0,0.0,2.4413690353764306,0.04000323805246519,0.3553611570374261,0.406461968595597,33.210672436366444,0.0,0.0,1.639542671690942,1.3030303030303032
54,33.33911559052651,0.0,0.0,2.3179665563881082,0.038119911886772655,0.3337786975106122,0.3856488732755711,33.33911559052651,0.0,0.0,1.560419073715152,1.3181818181818183
55,33.461557041416,0.0,0.0,2.200108252000597,0.03540315651557857,0.3134286520677685,0.3666970638343283,33.461557041416,0.0,0.0,1.4845793795829219,1.3333333333333335
56,33.57823301596702,0.0,0.0,2.0874487373483306,0.03374011857328465,0.29418253601510014,0.34766148663270774,33.57823301596702,0.0,0.0,1.411864596127238,1.3484848484848486
57,33.689373788901285,0.0,0.0,1.9801107271869187,0.031321479156196146,0.2761160472332367,0.33035436858536843,33.689373788901285,0.0,0.0,1.3423188322121176,1.3636363636363638
58,33.80207540979089,0.0,0.0,1.8707653916124014,0.02954394202835688,0.25904338967643037,0.31088422170469776,33.80207540979089,0.0,0.0,1.2712938382029166,1.378787878787879
59,33.90248024136518,0.0,0.0,1.7735144533472318,0.02742216061699918,0.24302619498352215,0.2952150870051109,33.90248024136518,0.0,0.0,1.2078510107415996,1.393939393939394
60,33.998017731088076,0.0,0.0,1.6807429840298882,0.02614940677962667,0.2279055603691746,0.279524398756483,33.998017731088076,0.0,0.0,1.147163618124604,1.4090909090909092
61,34.08889292796556,0.0,0.0,1.592392460760548,0.024262042630823717,0.21368261921678072,0.2652623295909585,34.08889292796556,0.0,0.0,1.089185469321985,1.4242424242424243
62,34.17530457006547,0.0,0.0,1.508285257136174,0.0231406433620946,0.20030779799148724,0.2510118923343628,34.17530457006547,0.0,0.0,1.0338249234482293,1.4393939393939394
63,34.25744508977643,0.0,0.0,1.428248231205696,0.0214627439827567,0.18773393171164524,0.2380651437123835,34.25744508977643,0.0,0.0,0.9809864117989108,1.4545454545454546
64,34.340563540971324,0.0,0.0,1.3471355435876669,0.020295669977248368,0.17594362666953656,0.22361258719609123,34.340563540971324,0.0,0.0,0.9272836597447908,1.4696969696969697
65,34.414459941495956,0.0,0.0,1.2749848875080017,0.018822958651992506,0.16483722171672818,0.2119575691493108,34.414459941495956,0.0,0.0,0.8793671379899702,1.4848484848484849
66,34.48463638470405,0.0,0.0,1.2064022696325105,0.017966563884052853,0.15440405428010734,0.20033921206984412,34.48463638470405,0.0,0.0,0.8336924393985063,1.5
67,34.55126009541708,0.0,0.0,1.1411830870854238,0.016657734436181064,0.1445841913884682,0.18978914089385848,34.55126009541708,0.0,0.0,0.7901520203669161,1.5151515151515151
68,34.61449228409705,0.0,0.0,1.0792845994714955,0.015439790776960702,0.13538631205292967,0.17975300377497816,34.61449228409705,0.0,0.0,0.748705492866627,1.5303030303030303
69,34.674488244110776,0.0,0.0,1.0205066484462135,0.014741489912968277,0.12675209527194967,0.16976537707238054,34.674488244110776,0.0,0.0,0.709247686188915,1.5454545454545454
70,34.735085209245696,0.0,0.0,0.9610352236441678,0.013562320360209415,0.1186476757740871,0.15959518851727314,34.735085209245696,0.0,0.0,0.6692300389925983,1.5606060606060606
71,34.788860243916375,0.0,0.0,0.9082416879104008,0.012956535486173005,0.11103046515734474,0.15064521740494108,34.788860243916375,0.0,0.0,0.633609469861942,1.5757575757575757
72,34.83983955464575,0.0,0.0,0.8581936047660452,0.012006203706510366,0.10389968984192681,0.14253533763431,34.83983955464575,0.0,0.0,0.599752373583298,1.5909090909090908
73,34.88815555244066,0.0,0.0,0.8107285386698947,0.011122659350012937,0.09721170890837025,0.1348298855732549,34.88815555244066,0.0,0.0,0.5675642848382566,1.6060606060606062
74,34.93393534491455,0.0,0.0,0.7657010654168173,0.010629699935323918,0.09092968965544622,0.12717734622865828,34.93393534491455,0.0,0.0,0.5369643295973888,1.6212121212121213
75,34.97730087330765,0.0,0.0,0.7230489030938718,0.009845261027978447,0.08505117840942086,0.1202464426321263,34.97730087330765,0.0,0.0,0.5079060210243462,1.6363636363636365
76,35.01836905253122,0.0,0.0,0.6826121233792526,0.009116448894721537,0.07953231541805682,0.11366529804862016,35.01836905253122,0.0,0.0,0.480298061017854,1.6515151515151516
77,35.059769058518285,0.0,0.0,0.6418008939571859,0.008670397780257116,0.07436087391317998,0.10639140734808251,35.059769058518285,0.0,0.0,0.45237821491566627,1.6666666666666667
78,35.096439057987816,0.0,0.0,0.6056625380206324,0.008029211625435883,0.06951705851738256,0.10052387934012778,35.096439057987816,0.0,0.0,0.4275923885376862,1.6818181818181819
79,35.13114041139789,0.0,0.0,0.5714649205837661,0.007681565185578073,0.06498664648070841,0.09471302404245328,35.13114041139789,0.0,0.0,0.4040836848750263,1.696969696969697
80,35.163971071769765,0.0,0.0,0.5390811560108622,0.007112235831966919,0.06073737505010637,0.0894517856801008,35.163971071769765,0.0,0.0,0.3817797594486881,1.7121212121212122
81,35.1950246959868,0.0,0.0,0.5084380661023273,0.006583609374449557,0.05675872280226414,0.08446545229846043,35.1950246959868,0.0,0.0,0.3606302816271532,1.7272727272727273
