,P_rad_SB_ref,P_rad_SB_abs,P_rad_AB_ref,P_rad_AB_abs,P_rad_recomb,Ptherm,Preabs,P_nonrad_recomb,Pseries,Pgen,Eg
0,11.92922455413155,0.0,0.0,23.73645150438879,0.717180377247105,11.990565500346202,11.92922455413155,0.0,0.0,11.028705626795483,0.5
1,12.569144597450071,0.0,0.0,23.09647930802126,0.6936051180940624,11.505389441534268,12.569144597450071,0.0,0.0,10.897484748392927,0.5151515151515151
2,13.209218485959704,0.0,0.0,22.456442250485097,0.6621145216639621,11.042298289325164,13.209218485959704,0.0,0.0,10.752029439495972,0.5303030303030303
3,13.84814314814124,0.0,0.0,21.817638846591098,0.6373136827393414,10.586775964994064,13.84814314814124,0.0,0.0,10.59354919885769,0.5454545454545454
4,14.527007434195848,0.0,0.0,21.138991662922614,0.604385449284799,10.12308555157087,14.527007434195848,0.0,0.0,10.411520662066946,0.5606060606060606
5,15.159727986999386,0.0,0.0,20.506551848736883,0.5796977604898264,9.69691308065883,15.159727986999386,0.0,0.0,10.229941007588227,0.5757575757575758
6,15.787743140054802,0.0,0.0,19.878887185572086,0.5549809823306213,9.284962556461158,15.787743140054802,0.0,0.0,10.038943646780309,0.5909090909090909
7,16.410040733825667,0.0,0.0,19.25700496035883,0.5303730826741998,8.88700132165783,16.410040733825667,0.0,0.0,9.839630556026801,0.6060606060606061
8,17.025681617401336,0.0,0.0,18.64183946852202,0.5059961041732667,8.502783739863176,17.025681617401336,0.0,0.0,9.633059624485576,0.6212121212121212
9,17.63379917825897,0.0,0.0,18.034252514079938,0.48195695813478223,8.132052576224027,17.63379917825897,0.0,0.0,9.42024297972113,0.6363636363636364
10,18.273271160133877,0.0,0.0,17.395402037829292,0.45983906245258194,7.748104265313548,18.273271160133877,0.0,0.0,9.187458710063162,0.6515151515151515
11,18.863400623031744,0.0,0.0,16.805902395738112,0.43701496426315933,7.404134614462731,18.863400623031744,0.0,0.0,8.96475281701222,0.6666666666666667
12,19.443790083200078,0.0,0.0,16.226183778361616,0.42040542376299384,7.0671456856215125,19.443790083200078,0.0,0.0,8.73863266897711,0.6818181818181819
13,20.013855040648316,0.0,0.0,15.656826306732581,0.398542535177901,6.748381877885724,20.013855040648316,0.0,0.0,8.509901893668957,0.696969696969697
14,20.573075653302162,0.0,0.0,15.09834559290421,0.3827012271999056,6.436319766361846,20.573075653302162,0.0,0.0,8.27932459934246,0.7121212121212122
15,21.12099441789127,0.0,0.0,14.551195070784841,0.3619746150660946,6.141570473823477,21.12099441789127,0.0,0.0,8.047649981895269,0.7272727272727273
16,21.69253700590972,0.0,0.0,13.980498792300311,0.3447309184019556,5.83572282528714,21.69253700590972,0.0,0.0,7.800045048611217,0.7424242424242424
17,22.2159029923385,0.0,0.0,13.457947468665187,0.32555508777998937,5.564250269449253,22.2159029923385,0.0,0.0,7.568142111435946,0.7575757575757576
18,22.72692608721863,0.0,0.0,12.947755990274487,0.3118365153862463,5.298891192032584,22.72692608721863,0.0,0.0,7.337028282855656,0.7727272727272727
19,23.225375602840188,0.0,0.0,12.4501517042251,0.29393095158694754,5.048962409142476,23.225375602840188,0.0,0.0,7.107258343495676,0.7878787878787878
20,23.71106964444987,0.0,0.0,11.965313352888554,0.2811934374999869,4.804826329948667,23.71106964444987,0.0,0.0,6.8792935854399,0.803030303030303
21,24.183872282125716,0.0,0.0,11.493373902462467,0.2645850541447345,4.575187239769436,24.183872282125716,0.0,0.0,6.653601608548297,0.8181818181818181
22,24.67388212234083,0.0,0.0,11.004289934486689,0.2519654086389194,4.33652320826921,24.67388212234083,0.0,0.0,6.415801317578561,0.8333333333333334
23,25.119793875748034,0.0,0.0,10.55924827488848,0.23682981382990137,4.126404597541406,25.119793875748034,0.0,0.0,6.196013863517175,0.8484848484848485
24,25.55265436504265,0.0,0.0,10.127257449215358,0.22621962339111998,3.9214382128227023,25.55265436504265,0.0,0.0,5.979599613001536,0.8636363636363636
25,25.972485776518045,0.0,0.0,9.708293054944155,0.21231666623945875,3.7291273631778474,25.972485776518045,0.0,0.0,5.766849025526849,0.8787878787878788
26,26.37934231387022,0.0,0.0,9.302298846429784,0.20263320840163584,3.541645085527813,26.37934231387022,0.0,0.0,5.558020552500335,0.8939393939393939
27,26.773307619478413,0.0,0.0,8.909189308456131,0.18992067350657554,3.3659433893645523,26.773307619478413,0.0,0.0,5.353325245585003,0.9090909090909092
28,27.1794533418098,0.0,0.0,8.50394725000439,0.18108156401451356,3.1830911043581525,27.1794533418098,0.0,0.0,5.139774581631725,0.9242424242424243
29,27.547154791680956,0.0,0.0,8.137082768246627,0.1695993591441121,3.0232671065057235,27.547154791680956,0.0,0.0,4.944216302596792,0.9393939393939394
30,27.902379262879958,0.0,0.0,7.782683953263708,0.16172939917876622,2.8676471806450072,27.902379262879958,0.0,0.0,4.7533073734399345,0.9545454545454546
31,28.245305340211985,0.0,0.0,7.440570972892241,0.1512980181328368,2.722132865644417,28.245305340211985,0.0,0.0,4.567140089114987,0.9696969696969697
32,28.57612935085563,0.0,0.0,7.110546389658637,0.1441984179575226,2.5805220969032945,28.57612935085563,0.0,0.0,4.38582587479782,0.9848484848484849
33,28.895063356733434,0.0,0.0,6.79239716149341,0.13741837924723638,2.445572033200584,28.895063356733434,0.0,0.0,4.2094067490455895,1.0
34,29.222408951617435,0.0,0.0,6.4658715522737245,0.12875814436910363,2.3104222064697892,29.222408951617435,0.0,0.0,4.026691201434831,1.0151515151515151
